[11:34:43] [Server thread/INFO]: Starting minecraft server version 1.15.1
[11:34:43] [Server thread/INFO]: Loading properties
[11:34:43] [Server thread/INFO]: Default game type: SURVIVAL
[11:34:43] [Server thread/INFO]: Generating keypair
[11:34:45] [Server thread/INFO]: Starting Minecraft server on *:25565
[11:34:45] [Server thread/INFO]: Using default channel type
[11:34:48] [Server thread/INFO]: This server is running CraftBukkit version git-Bukkit-2d9db47 (MC: 1.15.1) (Implementing API version 1.15.1-R0.1-SNAPSHOT)
[11:34:50] [Server thread/INFO]: Preparing level "world"
[11:40:27] [User Authenticator #1/INFO]: UUID of player CapMe is 5469174f-a834-441c-84d3-2f04717385b3
[11:40:45] [Server thread/INFO]: com.mojang.authlib.GameProfile@7e74af1f[id=<null>,name=CapMe,properties={},legacy=false] (/192.168.1.206:60585) lost connection: Disconnected
[11:40:47] [Server thread/INFO]: CapMe[/192.168.1.206:60674] logged in with entity id 87 at ([world]-154.5, 72.0, 96.5)
[11:40:47] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 34112ms or 682 ticks behind
[11:41:01] [Server thread/INFO]: CapMe issued server command: /
[11:41:05] [Server thread/INFO]: CapMe issued server command: /
[11:41:28] [Server thread/INFO]: CapMe issued server command: /
[11:41:31] [Server thread/INFO]: CapMe issued server command: /?
[11:41:46] [Server thread/INFO]: CapMe issued server command: /bukkit:version
[11:42:00] [Thread-2/INFO]: Stopping server
[11:42:00] [Thread-2/INFO]: Saving players
